premise,hypothesis,update,label,country/cultural group,topic,anchor_trigger,anchor_target,anchor_specification,match_trigger,match_target,match_specification,anchor_rule,match_rule,trigger_sim,target_sim,spec_sim,normad_anchor_idx,normad_match_idx
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a sweden national.,strengthener,sweden,basic_etiquette,arriving at social gatherings,timing of arrival,arrive slightly later to respect the host,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,Arriving slightly later than the designated time to social gatherings can be a sign of respecting the host's preparation time.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.8038,1.0,0.5708,515,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a chile national.,weakener,chile,basic_etiquette,arriving at social gatherings,timing of arrival,arrive slightly later to respect the host,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,Arriving slightly later than the designated time to social gatherings can be a sign of respecting the host's preparation time.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.8038,1.0,0.5708,515,268
Jordan arrived at the social gathering just as the event was already underway.,It is okay to arrive late to social events as a means of enjoying present moments and relationships.,They are a tonga national.,strengthener,tonga,basic_etiquette,arriving at social events,timing of arrival,arrive late to enjoy present moments,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is okay to arrive late to social events as a means of enjoying present moments and relationships.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.481,925,268
Jordan arrived at the social gathering just as the event was already underway.,It is okay to arrive late to social events as a means of enjoying present moments and relationships.,They are a sweden national.,weakener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive late to enjoy present moments,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is okay to arrive late to social events as a means of enjoying present moments and relationships.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.481,925,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a sweden national.,strengthener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive late to enjoy present moments,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is okay to arrive late to social events as a means of enjoying present moments and relationships.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.481,925,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a tonga national.,weakener,tonga,basic_etiquette,arriving at social events,timing of arrival,arrive late to enjoy present moments,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is okay to arrive late to social events as a means of enjoying present moments and relationships.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.481,925,268
Taylor arrived at the community center just as the event was starting to get underway.,It is proper etiquette to arrive later than the designated time for social events.,They are a peru national.,strengthener,peru,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,attending social events,arrival time,arrive exactly on time,It is proper etiquette to arrive later than the designated time for social events.,"It's generally preferred to arrive exactly on time for social events, too early may be seen as rude, while too late is disrespectful.",0.7808,0.7546,0.6558,676,2284
Taylor arrived at the community center just as the event was starting to get underway.,It is proper etiquette to arrive later than the designated time for social events.,They are a sweden national.,weakener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,attending social events,arrival time,arrive exactly on time,It is proper etiquette to arrive later than the designated time for social events.,"It's generally preferred to arrive exactly on time for social events, too early may be seen as rude, while too late is disrespectful.",0.7808,0.7546,0.6558,676,2284
"Jordan arrived at the community center just as the event was about to start, and looked around for others.","It's generally preferred to arrive exactly on time for social events, too early may be seen as rude, while too late is disrespectful.",They are a sweden national.,strengthener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,attending social events,arrival time,arrive exactly on time,It is proper etiquette to arrive later than the designated time for social events.,"It's generally preferred to arrive exactly on time for social events, too early may be seen as rude, while too late is disrespectful.",0.7808,0.7546,0.6558,676,2284
"Jordan arrived at the community center just as the event was about to start, and looked around for others.","It's generally preferred to arrive exactly on time for social events, too early may be seen as rude, while too late is disrespectful.",They are a peru national.,weakener,peru,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,attending social events,arrival time,arrive exactly on time,It is proper etiquette to arrive later than the designated time for social events.,"It's generally preferred to arrive exactly on time for social events, too early may be seen as rude, while too late is disrespectful.",0.7808,0.7546,0.6558,676,2284
Taylor arrived at the community center just as the event was starting to get underway.,It is proper etiquette to arrive later than the designated time for social events.,They are a peru national.,strengthener,peru,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is proper etiquette to arrive later than the designated time for social events.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,676,268
Taylor arrived at the community center just as the event was starting to get underway.,It is proper etiquette to arrive later than the designated time for social events.,They are a sweden national.,weakener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is proper etiquette to arrive later than the designated time for social events.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,676,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a sweden national.,strengthener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is proper etiquette to arrive later than the designated time for social events.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,676,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a peru national.,weakener,peru,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is proper etiquette to arrive later than the designated time for social events.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,676,268
Sam and Jordan arrived at the restaurant with their friends for a casual dinner.,"When dining out with friends, it is correct to divide the bill equally, unless someone insists on paying for a special occasion.",They are a timor-leste national.,strengthener,timor-leste,basic_etiquette,dining out with friends,how to split the bill,divide equally unless someone insists on paying,dining out with a group,how to split bills,split bills according to individual orders,"When dining out with friends, it is correct to divide the bill equally, unless someone insists on paying for a special occasion.",Splitting bills according to individual orders is expected when dining out.,0.8443,0.9436,0.5663,1893,1412
Sam and Jordan arrived at the restaurant with their friends for a casual dinner.,"When dining out with friends, it is correct to divide the bill equally, unless someone insists on paying for a special occasion.",They are a australia national.,weakener,australia,basic_etiquette,dining out with friends,how to split the bill,divide equally unless someone insists on paying,dining out with a group,how to split bills,split bills according to individual orders,"When dining out with friends, it is correct to divide the bill equally, unless someone insists on paying for a special occasion.",Splitting bills according to individual orders is expected when dining out.,0.8443,0.9436,0.5663,1893,1412
Sam arrived at a restaurant with friends for a group meal.,Splitting bills according to individual orders is expected when dining out.,They are a australia national.,strengthener,australia,basic_etiquette,dining out with friends,how to split the bill,divide equally unless someone insists on paying,dining out with a group,how to split bills,split bills according to individual orders,"When dining out with friends, it is correct to divide the bill equally, unless someone insists on paying for a special occasion.",Splitting bills according to individual orders is expected when dining out.,0.8443,0.9436,0.5663,1893,1412
Sam arrived at a restaurant with friends for a group meal.,Splitting bills according to individual orders is expected when dining out.,They are a timor-leste national.,weakener,timor-leste,basic_etiquette,dining out with friends,how to split the bill,divide equally unless someone insists on paying,dining out with a group,how to split bills,split bills according to individual orders,"When dining out with friends, it is correct to divide the bill equally, unless someone insists on paying for a special occasion.",Splitting bills according to individual orders is expected when dining out.,0.8443,0.9436,0.5663,1893,1412
Taylor was at a gathering where a friend extended an offer of help to carry some items.,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,They are a türkiye national.,strengthener,türkiye,basic_etiquette,being offered something,response to the offer,decline politely at first,being offered something,acceptance of offer,accept to show trust and respect,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,It is polite to accept what is offered to you to show trust and respect towards the person.,1.0,0.7898,0.4107,809,699
Taylor was at a gathering where a friend extended an offer of help to carry some items.,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,They are a cyprus national.,weakener,cyprus,basic_etiquette,being offered something,response to the offer,decline politely at first,being offered something,acceptance of offer,accept to show trust and respect,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,It is polite to accept what is offered to you to show trust and respect towards the person.,1.0,0.7898,0.4107,809,699
Taylor was at a gathering where a friend extended a plate of snacks towards them.,It is polite to accept what is offered to you to show trust and respect towards the person.,They are a cyprus national.,strengthener,cyprus,basic_etiquette,being offered something,response to the offer,decline politely at first,being offered something,acceptance of offer,accept to show trust and respect,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,It is polite to accept what is offered to you to show trust and respect towards the person.,1.0,0.7898,0.4107,809,699
Taylor was at a gathering where a friend extended a plate of snacks towards them.,It is polite to accept what is offered to you to show trust and respect towards the person.,They are a türkiye national.,weakener,türkiye,basic_etiquette,being offered something,response to the offer,decline politely at first,being offered something,acceptance of offer,accept to show trust and respect,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,It is polite to accept what is offered to you to show trust and respect towards the person.,1.0,0.7898,0.4107,809,699
Taylor was at a gathering where a friend extended an offer of help to carry some items.,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,They are a türkiye national.,strengthener,türkiye,basic_etiquette,being offered something,response to the offer,decline politely at first,being offered something,response to the offer,accept with gratitude,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,Always accept what is offered with gratitude to show trust and respect.,1.0,1.0,0.4114,809,1554
Taylor was at a gathering where a friend extended an offer of help to carry some items.,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,They are a cyprus national.,weakener,cyprus,basic_etiquette,being offered something,response to the offer,decline politely at first,being offered something,response to the offer,accept with gratitude,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,Always accept what is offered with gratitude to show trust and respect.,1.0,1.0,0.4114,809,1554
Jordan was at a gathering where a friend extended a gift or item to them.,Always accept what is offered with gratitude to show trust and respect.,They are a cyprus national.,strengthener,cyprus,basic_etiquette,being offered something,response to the offer,decline politely at first,being offered something,response to the offer,accept with gratitude,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,Always accept what is offered with gratitude to show trust and respect.,1.0,1.0,0.4114,809,1554
Jordan was at a gathering where a friend extended a gift or item to them.,Always accept what is offered with gratitude to show trust and respect.,They are a türkiye national.,weakener,türkiye,basic_etiquette,being offered something,response to the offer,decline politely at first,being offered something,response to the offer,accept with gratitude,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,Always accept what is offered with gratitude to show trust and respect.,1.0,1.0,0.4114,809,1554
Jordan arrived at the gathering and noticed that some guests were still settling in as the event was already underway.,It is okay to prioritize relationships over strict adherence to the time when attending social events.,They are a peru national.,strengthener,peru,basic_etiquette,attending social events,timeliness,prioritize relationships over strict time adherence,attending professional or social engagements,timeliness,arrive on time to show respect,It is okay to prioritize relationships over strict adherence to the time when attending social events.,One must always arrive on time for both professional and social engagements to show respect and consideration.,0.8189,1.0,0.4135,675,1773
Jordan arrived at the gathering and noticed that some guests were still settling in as the event was already underway.,It is okay to prioritize relationships over strict adherence to the time when attending social events.,They are a tonga national.,weakener,tonga,basic_etiquette,attending social events,timeliness,prioritize relationships over strict time adherence,attending professional or social engagements,timeliness,arrive on time to show respect,It is okay to prioritize relationships over strict adherence to the time when attending social events.,One must always arrive on time for both professional and social engagements to show respect and consideration.,0.8189,1.0,0.4135,675,1773
Taylor arrived at the conference room just as the meeting was about to begin.,One must always arrive on time for both professional and social engagements to show respect and consideration.,They are a tonga national.,strengthener,tonga,basic_etiquette,attending social events,timeliness,prioritize relationships over strict time adherence,attending professional or social engagements,timeliness,arrive on time to show respect,It is okay to prioritize relationships over strict adherence to the time when attending social events.,One must always arrive on time for both professional and social engagements to show respect and consideration.,0.8189,1.0,0.4135,675,1773
Taylor arrived at the conference room just as the meeting was about to begin.,One must always arrive on time for both professional and social engagements to show respect and consideration.,They are a peru national.,weakener,peru,basic_etiquette,attending social events,timeliness,prioritize relationships over strict time adherence,attending professional or social engagements,timeliness,arrive on time to show respect,It is okay to prioritize relationships over strict adherence to the time when attending social events.,One must always arrive on time for both professional and social engagements to show respect and consideration.,0.8189,1.0,0.4135,675,1773
"Jordan arrived at a gathering a little after the scheduled start time, as others were already mingling.","It is okay to arrive later than the designated time for social events, emphasizing the value of people and relationships.",They are a bangladesh national.,strengthener,bangladesh,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,"It is okay to arrive later than the designated time for social events, emphasizing the value of people and relationships.",It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,1964,268
"Jordan arrived at a gathering a little after the scheduled start time, as others were already mingling.","It is okay to arrive later than the designated time for social events, emphasizing the value of people and relationships.",They are a sweden national.,weakener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,"It is okay to arrive later than the designated time for social events, emphasizing the value of people and relationships.",It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,1964,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a sweden national.,strengthener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,"It is okay to arrive later than the designated time for social events, emphasizing the value of people and relationships.",It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,1964,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a bangladesh national.,weakener,bangladesh,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,"It is okay to arrive later than the designated time for social events, emphasizing the value of people and relationships.",It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,1964,268
"During a visit to a friend's house, Sam was offered a cup of tea by the host.",It is respectful to initially decline an offer before accepting it after the host insists.,They are a syria national.,strengthener,syria,basic_etiquette,being offered something,initial response to the offer,initially decline before accepting,being offered something,response to the offer,accept with gratitude,It is respectful to initially decline an offer before accepting it after the host insists.,Always accept what is offered with gratitude to show trust and respect.,1.0,0.9103,0.5113,645,1554
"During a visit to a friend's house, Sam was offered a cup of tea by the host.",It is respectful to initially decline an offer before accepting it after the host insists.,They are a cyprus national.,weakener,cyprus,basic_etiquette,being offered something,initial response to the offer,initially decline before accepting,being offered something,response to the offer,accept with gratitude,It is respectful to initially decline an offer before accepting it after the host insists.,Always accept what is offered with gratitude to show trust and respect.,1.0,0.9103,0.5113,645,1554
Jordan was at a gathering where a friend extended a gift or item to them.,Always accept what is offered with gratitude to show trust and respect.,They are a cyprus national.,strengthener,cyprus,basic_etiquette,being offered something,initial response to the offer,initially decline before accepting,being offered something,response to the offer,accept with gratitude,It is respectful to initially decline an offer before accepting it after the host insists.,Always accept what is offered with gratitude to show trust and respect.,1.0,0.9103,0.5113,645,1554
Jordan was at a gathering where a friend extended a gift or item to them.,Always accept what is offered with gratitude to show trust and respect.,They are a syria national.,weakener,syria,basic_etiquette,being offered something,initial response to the offer,initially decline before accepting,being offered something,response to the offer,accept with gratitude,It is respectful to initially decline an offer before accepting it after the host insists.,Always accept what is offered with gratitude to show trust and respect.,1.0,0.9103,0.5113,645,1554
Taylor was at a gathering where a friend extended a plate of snacks toward them.,"When offered something, initially decline out of politeness before accepting.",They are a syria national.,strengthener,syria,basic_etiquette,being offered something,initial response to offer,initially decline out of politeness,being offered something,response to the offer,accept with gratitude,"When offered something, initially decline out of politeness before accepting.",Always accept what is offered with gratitude to show trust and respect.,1.0,0.8714,0.428,1502,1554
Taylor was at a gathering where a friend extended a plate of snacks toward them.,"When offered something, initially decline out of politeness before accepting.",They are a cyprus national.,weakener,cyprus,basic_etiquette,being offered something,initial response to offer,initially decline out of politeness,being offered something,response to the offer,accept with gratitude,"When offered something, initially decline out of politeness before accepting.",Always accept what is offered with gratitude to show trust and respect.,1.0,0.8714,0.428,1502,1554
Jordan was at a gathering where a friend extended a gift or item to them.,Always accept what is offered with gratitude to show trust and respect.,They are a cyprus national.,strengthener,cyprus,basic_etiquette,being offered something,initial response to offer,initially decline out of politeness,being offered something,response to the offer,accept with gratitude,"When offered something, initially decline out of politeness before accepting.",Always accept what is offered with gratitude to show trust and respect.,1.0,0.8714,0.428,1502,1554
Jordan was at a gathering where a friend extended a gift or item to them.,Always accept what is offered with gratitude to show trust and respect.,They are a syria national.,weakener,syria,basic_etiquette,being offered something,initial response to offer,initially decline out of politeness,being offered something,response to the offer,accept with gratitude,"When offered something, initially decline out of politeness before accepting.",Always accept what is offered with gratitude to show trust and respect.,1.0,0.8714,0.428,1502,1554
"During a meeting, Sam was offered a cup of coffee by a colleague.",It is expected to politely decline an offer initially before accepting on subsequent offers.,They are a ethiopia national.,strengthener,ethiopia,basic_etiquette,being offered something,initial response to offer,politely decline the offer initially,being offered something,response to the offer,accept with gratitude,It is expected to politely decline an offer initially before accepting on subsequent offers.,Always accept what is offered with gratitude to show trust and respect.,1.0,0.8713,0.4858,1461,1554
"During a meeting, Sam was offered a cup of coffee by a colleague.",It is expected to politely decline an offer initially before accepting on subsequent offers.,They are a cyprus national.,weakener,cyprus,basic_etiquette,being offered something,initial response to offer,politely decline the offer initially,being offered something,response to the offer,accept with gratitude,It is expected to politely decline an offer initially before accepting on subsequent offers.,Always accept what is offered with gratitude to show trust and respect.,1.0,0.8713,0.4858,1461,1554
Jordan was at a gathering where a friend extended a gift or item to them.,Always accept what is offered with gratitude to show trust and respect.,They are a cyprus national.,strengthener,cyprus,basic_etiquette,being offered something,initial response to offer,politely decline the offer initially,being offered something,response to the offer,accept with gratitude,It is expected to politely decline an offer initially before accepting on subsequent offers.,Always accept what is offered with gratitude to show trust and respect.,1.0,0.8713,0.4858,1461,1554
Jordan was at a gathering where a friend extended a gift or item to them.,Always accept what is offered with gratitude to show trust and respect.,They are a ethiopia national.,weakener,ethiopia,basic_etiquette,being offered something,initial response to offer,politely decline the offer initially,being offered something,response to the offer,accept with gratitude,It is expected to politely decline an offer initially before accepting on subsequent offers.,Always accept what is offered with gratitude to show trust and respect.,1.0,0.8713,0.4858,1461,1554
"Jordan arrived at a family reunion where everyone was seated around the table, and the host was about to begin eating.",The host begins eating last as a sign of respect towards their guests.,They are a timor-leste national.,strengthener,timor-leste,eating,starting a meal,who begins eating,host begins eating last,starting a meal,who begins eating,wait for the host or eldest male,The host begins eating last as a sign of respect towards their guests.,It is polite to wait for the host or the eldest male to begin eating before others start.,1.0,1.0,0.4629,1036,1514
"Jordan arrived at a family reunion where everyone was seated around the table, and the host was about to begin eating.",The host begins eating last as a sign of respect towards their guests.,They are a kenya national.,weakener,kenya,eating,starting a meal,who begins eating,host begins eating last,starting a meal,who begins eating,wait for the host or eldest male,The host begins eating last as a sign of respect towards their guests.,It is polite to wait for the host or the eldest male to begin eating before others start.,1.0,1.0,0.4629,1036,1514
Taylor arrived at a family gathering where everyone was seated around the table just as the host was about to start serving the food.,It is polite to wait for the host or the eldest male to begin eating before others start.,They are a kenya national.,strengthener,kenya,eating,starting a meal,who begins eating,host begins eating last,starting a meal,who begins eating,wait for the host or eldest male,The host begins eating last as a sign of respect towards their guests.,It is polite to wait for the host or the eldest male to begin eating before others start.,1.0,1.0,0.4629,1036,1514
Taylor arrived at a family gathering where everyone was seated around the table just as the host was about to start serving the food.,It is polite to wait for the host or the eldest male to begin eating before others start.,They are a timor-leste national.,weakener,timor-leste,eating,starting a meal,who begins eating,host begins eating last,starting a meal,who begins eating,wait for the host or eldest male,The host begins eating last as a sign of respect towards their guests.,It is polite to wait for the host or the eldest male to begin eating before others start.,1.0,1.0,0.4629,1036,1514
Jordan finished the meal and was about to leave the table.,Show appreciation for the meal by trying a bit of every dish and leave a small amount of food on your plate when you're done.,They are a china national.,strengthener,china,eating,finishing a meal,how to show appreciation,try a bit of every dish and leave a small amount of food,finishing a meal,showing appreciation,accept second servings and keep plate empty,Show appreciation for the meal by trying a bit of every dish and leave a small amount of food on your plate when you're done.,Show appreciation for the meal by accepting second servings and ensuring your plate is empty before leaving the table.,1.0,0.8753,0.5578,1177,740
Jordan finished the meal and was about to leave the table.,Show appreciation for the meal by trying a bit of every dish and leave a small amount of food on your plate when you're done.,They are a greece national.,weakener,greece,eating,finishing a meal,how to show appreciation,try a bit of every dish and leave a small amount of food,finishing a meal,showing appreciation,accept second servings and keep plate empty,Show appreciation for the meal by trying a bit of every dish and leave a small amount of food on your plate when you're done.,Show appreciation for the meal by accepting second servings and ensuring your plate is empty before leaving the table.,1.0,0.8753,0.5578,1177,740
Jordan finished the meal and was about to leave the table.,Show appreciation for the meal by accepting second servings and ensuring your plate is empty before leaving the table.,They are a greece national.,strengthener,greece,eating,finishing a meal,how to show appreciation,try a bit of every dish and leave a small amount of food,finishing a meal,showing appreciation,accept second servings and keep plate empty,Show appreciation for the meal by trying a bit of every dish and leave a small amount of food on your plate when you're done.,Show appreciation for the meal by accepting second servings and ensuring your plate is empty before leaving the table.,1.0,0.8753,0.5578,1177,740
Jordan finished the meal and was about to leave the table.,Show appreciation for the meal by accepting second servings and ensuring your plate is empty before leaving the table.,They are a china national.,weakener,china,eating,finishing a meal,how to show appreciation,try a bit of every dish and leave a small amount of food,finishing a meal,showing appreciation,accept second servings and keep plate empty,Show appreciation for the meal by trying a bit of every dish and leave a small amount of food on your plate when you're done.,Show appreciation for the meal by accepting second servings and ensuring your plate is empty before leaving the table.,1.0,0.8753,0.5578,1177,740
Taylor sat at the dining table with an empty plate after the main course had been served.,It is respectful to finish the food on your plate to show appreciation for the meal provided.,They are a cyprus national.,strengthener,cyprus,eating,finishing a meal,how much food to eat,finish all the food on your plate,finishing a meal,how much to eat,leave a small portion to show fullness,It is respectful to finish the food on your plate to show appreciation for the meal provided.,It is correct to leave a small portion of the meal on your plate to show you are full.,1.0,0.8007,0.4363,1559,372
Taylor sat at the dining table with an empty plate after the main course had been served.,It is respectful to finish the food on your plate to show appreciation for the meal provided.,They are a russia national.,weakener,russia,eating,finishing a meal,how much food to eat,finish all the food on your plate,finishing a meal,how much to eat,leave a small portion to show fullness,It is respectful to finish the food on your plate to show appreciation for the meal provided.,It is correct to leave a small portion of the meal on your plate to show you are full.,1.0,0.8007,0.4363,1559,372
