row_id,premise
79,Taylor arrived at a family gathering where everyone was already seated around the dining table.
80,Sam arrived at a friend's house for a meal and sat down at the table as the host began serving the dishes.
81,Sam was handed a wrapped box during a celebration hosted by a friend.
82,"Jordan was present when a friend handed over a wrapped present during a family gathering, and the atmosphere was warm and welcoming."
83,"During a farewell gathering, Sam was handed a small token by the host as everyone prepared to leave."
84,Taylor was about to hand a folder to their colleague during a meeting.
85,Jordan was about to hand a book to a friend during a casual exchange.
86,Sam was about to hand a book to a colleague during a meeting.
87,Taylor arrived at a friend's house for a casual visit and was about to step inside.
90,"Jordan sat quietly at the dining table, waiting for the host to begin serving the dishes."
91,"Jordan sat at the dining table, observing the arrangement of dishes as the meal was about to commence."
92,"During a family gathering centered around a large shared platter, Sam sat down at the table with the other guests."
93,Sam was standing quietly as a friend handed over a wrapped present during their visit.
94,Sam was about to hand a wrapped present to a friend during a celebration.
95,Sam was preparing to present a wrapped gift to a friend during a celebration.
96,Taylor planned to invite friends to a restaurant for a meal.
97,Jordan arrived at a formal gathering where guests were engaging in conversations and waiting for the event to begin.
98,Jordan invited a friend to join them for coffee at a local café.
99,Jordan was walking down the street when they decided to stop by a friend's house unexpectedly.
100,Sam received an invitation to visit a friend's house for the weekend.
101,Taylor received an invitation to visit a friend's house for the weekend.
102,"Taylor sat back in their chair and reached for their napkin as the meal came to an end, and"
103,"Taylor finished their meal and sat back, signaling that they had had enough."
104,Sam finished their meal and was about to clear the plate.
105,Sam was at a celebration where someone handed over an envelope as a present.
106,"Jordan was browsing through a variety of items in a store, considering what would be appropriate for a close friend's birthday."
107,Taylor was handed a wrapped box by a friend during a casual get-together.
108,Taylor was about to hand a folded letter to their colleague during a meeting.
109,Jordan was about to hand a document to a colleague during a formal meeting.
110,Taylor was about to hand a book to a colleague during a meeting.
111,"Taylor stood near the counter, ready to hand over or accept a package from the cashier."
112,Sam arrived at the café to meet a friend for a catch-up.
113,Jordan arrived at the conference room just as the meeting was about to begin.
114,Jordan sat at the table as the host placed the dishes in front of everyone.
115,Taylor received an invitation to dine at a restaurant from a friend.
116,"Jordan arrived at the communal dining table with several dishes already set out, and everyone was seated and waiting."
117,Sam was about to hand a wrapped present to their friend during a celebration.
118,Sam was about to give a wrapped present to a friend during a celebration.
119,Taylor prepared to present a wrapped box to a friend during a celebration.
120,Jordan was preparing to participate in a community health workshop where attendees were advised to follow certain safety measures.
121,Sam was about to open a second window in the living room while the first one was already open.
122,Jordan entered the room where their grandparents were sitting and approached them with a polite greeting.
123,Jordan was at a casual meeting where a colleague extended a glass of water toward them.
124,Taylor arrived at a social event where the host was pouring drinks for the guests.
125,Sam arrived at a friend's house for a casual visit and was offered a beverage by the host.
126,Jordan and a group of friends were gathering to plan their upcoming dinner reservation at a new restaurant.
127,"Jordan was gathering with friends at a restaurant, and they were about to decide how to handle the bill."
128,Sam arrived at the restaurant where friends were already seated around a large table with various dishes in the center.
129,Sam was in the process of selecting a bouquet to present to a friend.
130,Sam was preparing to give a friend a thoughtful present during a one-on-one meeting.
131,"Taylor was in the middle of a meeting when a senior colleague entered the conference room, and"
132,Jordan was in the middle of a conversation when a new guest entered the room.
133,"Taylor was in the middle of a conversation when an older person entered the room, and"
134,Jordan stepped into the living room after touring the house and noticed the table was set for a meal.
136,Jordan was in a meeting room when a new colleague entered for the first time.
137,Sam was sitting quietly as the last few dishes were being cleared from the table after the meal.
138,"Jordan arrived at a family gathering where everyone was seated around the table, and the host was about to begin the meal."
139,Taylor arrived at a family gathering where everyone was already seated around the dining table.
140,Taylor prepared to present a wrapped box to a friend during their visit.
141,Jordan was about to hand a wrapped present to a close friend during a celebration.
142,Taylor prepared to hand over a wrapped present during the celebration.
143,Jordan found themselves in a situation where they accidentally bumped into a colleague in the hallway.
144,Jordan and a friend were engaged in a discussion when the topic of family finances unexpectedly came up.
145,Jordan was at a social gathering where others were sharing details about their families and careers.
146,"Sam arrived at a friend's house for a casual gathering, contemplating whether to invite a few more people."
147,"Sam stepped inside the house and paused, looking around for any signs or instructions from the host."
148,"Taylor arrived at a friend's house and stood by the door, waiting for guidance on footwear."
149,Jordan was about to settle the check after finishing a meal at a restaurant.
150,Sam finished paying the bill at the restaurant and prepared to leave.
151,"Sam was preparing to settle the check after finishing a meal at a restaurant, and"
152,Sam was at a celebration where they had just received a wrapped present from a friend.
153,Sam was preparing to give a wrapped present to a close friend during their visit.
154,Sam was handed a wrapped box during a celebration and was about to open it in front of the person who gave it.
155,Taylor was at a gathering where someone extended a plate of snacks toward them.
156,Jordan was attending a business lunch with colleagues when the check arrived at the table.
157,"Jordan was seated at a table with friends during a group meal, and the bill was brought to the table."
158,Taylor was at a gathering where the host approached with a tray of drinks.
159,Taylor was at a social event where someone offered them a beverage.
160,Taylor was at a social gathering where the host approached with a tray of beverages.
161,Sam finished their meal and was about to clear their plate.
162,"Taylor finished their meal and sat back, waiting for the host's cue to leave the table."
163,Taylor was about to clear their plate after finishing a meal with friends.
164,Sam was standing near a table where a gift was being handed over during a celebration.
165,Sam was attending a celebration where a gift was being handed over to them.
166,Taylor was about to present a wrapped present to a friend during a celebration.
167,Jordan and a friend were engaged in a conversation when the topic of family was brought up.
168,Jordan was seated at a café table when they noticed the server approaching from across the room.
169,"Taylor was seated at a busy café, observing the staff as they moved through the room."
170,Taylor planned to stop by their friend's house without notifying them beforehand.
171,"Jordan arrived at their friend's house on a weekday afternoon, just as the scheduled visit was set to begin,"
173,"Jordan was browsing through various items in a store, considering what might align with a friend's hobbies and preferences."
174,Taylor was preparing to present a wrapped item to a friend during a celebration.
175,"Taylor was in a store, contemplating various items to purchase for a friend's upcoming birthday."
176,Taylor arrived at the coffee shop just as the person they were meeting was about to sit down.
177,Sam arrived at a busy café and noticed a personal bag placed on a chair near the window.
179,"Sam arrived at the gathering, and the clock was already past the scheduled start time."
180,Taylor received an invitation to a community event and was considering how to respond.
181,"Jamie arrived at a friend's house for a casual visit on a weekend afternoon, carrying a small gift in hand."
182,Jordan sat at the table as the last bites of their meal were being cleared away.
183,Taylor arrived at a family gathering where everyone was already seated around the dining table.
184,"Jordan finished eating and sat back at the table, indicating they were done."
185,Sam was about to hand a wrapped present to a friend during a celebration.
186,Taylor was about to hand a wrapped present to a friend at a celebration.
187,Taylor was about to hand a wrapped present to a friend during their visit.
189,Jordan was engaged in a lively discussion with friends at a local gathering as the evening wore on.
190,"Sam arrived at the gathering, greeting friends as they settled in."
191,Jordan was at a social event where the host approached with a tray of drinks.
192,Taylor was at a gathering where the host approached with a tray of drinks and snacks.
193,Sam was sitting in the lounge when a friend approached with a tray of beverages.
194,"During a family reunion, Sam was seated at the dining table with several relatives before the meal was served."
195,Jordan arrived at the restaurant and took a seat at the table just as the host was about to begin eating.
196,Taylor arrived at the family gathering where everyone was seated around the table preparing to eat.
197,"Sam was standing in front of a friend at a celebration, holding a wrapped present in anticipation of the moment to give it."
198,Sam was about to present a wrapped present to a friend during a celebration.
199,Sam was about to hand a wrapped present to the host during a celebration.
200,Jordan noticed an elderly person struggling to carry their groceries through the busy market.
201,Sam noticed an elderly person standing near the bus door as the vehicle came to a stop.
202,Jordan was seated in the living room when a guest entered through the front door.
203,"Taylor arrived at their friend's house for a visit, carrying a small item in hand."
204,"Jordan stepped towards the doorway, hesitating as they prepared to step inside."
206,Taylor was seated at the table as the server approached with the next round of drinks.
207,"Taylor was seated at the table during a celebration, awaiting the signal to begin drinking."
208,"Taylor was seated at the table with friends, waiting for the host to raise their glass before beginning to eat."
209,Taylor was preparing to present a small token of appreciation to a colleague during a farewell gathering.
210,Jordan was in the process of selecting a present for a colleague's farewell celebration.
211,Sam was about to present a bouquet to a friend during a visit.
212,Jordan was at a gathering where a friend offered to cover the cost of their coffee.
213,Sam was at a restaurant with friends when the waiter approached with the check.
215,Jordan arrived at a friend's house and stepped inside the warmly decorated living room.
216,Taylor was preparing to visit a friend's house for a casual afternoon get-together.
217,Sam was preparing to visit a friend's house for a casual afternoon get-together.
218,Jordan was seated at the table during a family gathering as everyone was settling in.
219,Taylor was attending a gathering at a friend's house when the host extended an invitation to join an activity.
220,Sam arrived at the family gathering and took a seat at the table just as the elders were about to start eating.
221,Sam was about to present a wrapped box to a friend during a celebration.
222,Sam was about to present a wrapped box to a friend during a celebration.
223,Sam was about to present a wrapped box to a friend during a celebration.
224,Jordan was walking through a crowded subway car when an elderly passenger struggled to find a place to stand.
225,Taylor approached a colleague in the office to exchange a document during a busy workday.
226,Sam was about to pass a book to their colleague during a team meeting.
227,Sam was preparing to leave their friend's house after an evening gathering.
228,Jordan finished saying goodbye to the host and stepped outside into the evening air.
229,Taylor was walking into their house after a long day out.
230,Jordan sat down at the table as the others began to serve themselves and the conversation started to flow.
231,Jordan was seated at a table with friends after a meal in a social setting.
232,Sam sat at the dining table as the host brought out the various dishes for everyone to enjoy.
233,"Taylor was handed a wrapped present during the celebration, and they prepared to open it right away."
234,Taylor unwrapped a present from a close friend during a celebration.
235,"Sam was sitting quietly as the door opened, and a friend handed over a wrapped present."
236,Sam was engaged in a discussion with a group of colleagues when they needed to move to another part of the room.
237,"Sam arrived at a meeting location well after the scheduled start time, and was standing nearby as others began to gather."
238,Jordan was waiting to board the bus during the morning rush hour.
239,Jordan arrived at a community event where multiple people were mingling and chatting.
240,Jordan arrived at a small gathering where everyone was already mingling and chatting.
241,Taylor arrived at the gathering and noticed that some guests were already mingling while others were settling in.
242,Taylor arrived at the community potluck and was about to find a place to sit.
243,"Sam arrived at the backyard where friends had gathered for a barbecue, carrying a dish in hand, and was greeted by the host."
244,"Taylor arrived at a family gathering where everyone was seated around a large table, and the dishes had been served."
245,Taylor arrived at a friend's house for a visit and was about to present a gift.
246,Taylor was preparing to give a gift to a friend during a casual visit.
247,"Taylor arrived at a friend's house for a casual afternoon visit, carrying a small, thoughtfully chosen item."
248,Taylor approached the reception desk to hand over their identification card during check-in.
249,Jordan noticed an elderly person standing nearby in a busy public area and was about to approach them.
250,"Taylor stood in front of a colleague, preparing to hand over a document during a formal exchange."
253,Taylor arrived at a friend's house for a casual visit and was about to step inside.
254,Taylor was seated at the dining table with a group of elders before the meal started.
255,Taylor was seated at the table with friends as everyone prepared to begin their dinner.
256,Sam arrived at the communal meal and noticed everyone was already seated around the table.
258,Sam was about to present a wrapped present to a friend during a casual visit.
259,Sam was at a celebration where they offered a carefully wrapped present to a guest who hesitated to accept.
260,"Jordan was in the middle of a conversation when an older family member entered the room, and"
261,Sam arrived at a social gathering where older guests were already seated and standing around.
262,Jordan was sitting in the lounge when an elderly visitor entered the room.
263,Jordan was visiting a friend's house when they were offered a cup of tea.
264,Taylor was at a community event where a volunteer was repeatedly offering snacks to attendees.
265,Jordan was at a community event when they were offered a gift by a volunteer.
266,Taylor was at a gathering where the host approached with a tray of drinks and snacks.
267,Taylor arrived at a gathering where the host was holding out a tray of drinks and snacks.
268,Sam was at a gathering where the host approached with a tray of beverages.
270,Taylor finished their meal and was about to clear their plate.
272,"Taylor was standing in the living room, holding out a wrapped present towards a friend during a visit."
273,Sam was visiting a friend's home when they politely declined a small gift offered upon arrival.
274,Taylor was present when a guest politely declined a gift they had offered.
275,"Taylor prepared to leave the house for a public outing, checking their appearance in the mirror."
276,Taylor arrived at the coffee shop where colleagues had gathered for a casual brainstorming session.
277,"Taylor arrived at the community center for the weekly gathering, dressed appropriately for the occasion, and prepared to participate in the activities."
278,Jordan arrived at the family gathering and noticed the host greeting guests as they entered.
279,"Sam approached the entrance of the temple, adjusting their clothing as they prepared to step inside."
280,"Jordan approached the entrance of the historic temple, preparing to step inside."
281,Jordan sat down at the table for a meal with friends.
282,Sam was seated at the dining table with friends as the host began serving the dishes.
283,"Taylor was visiting a friend’s house after attending a gathering they hosted, and was contemplating how to express gratitude."
284,Taylor received a wrapped present from a friend during a celebration.
285,"Taylor was handed a wrapped box during a celebration, and they prepared to unwrap it."
286,Sam was handed a wrapped box by a friend during a celebration.
287,Jordan arrived at the conference room just as the meeting was about to start.
288,Jordan was waiting in the lobby of the office building just before their scheduled meeting time.
289,"Taylor arrived at the venue for a scheduled meeting, just as the clock struck the designated start time."
290,Taylor visited a friend's house and was about to leave after spending the afternoon together.
291,Jordan was preparing to meet a friend after a recent visit to their home.
292,Jordan received an invitation to a dinner at a friend's house and arrived promptly at the scheduled time.
293,Taylor was at a gathering where a platter with multiple types of snacks was presented to the guests.
294,Taylor finished eating and was about to leave the table when the host approached.
295,Sam arrived at a potluck dinner where multiple dishes and varieties of food were laid out on the table.
296,Jordan arrived at their friend's house and was about to present a gift to the host and the children.
298,Taylor arrived at a friend's house for a casual afternoon visit.
299,Taylor was about to hand a formal invitation to the event organizer.
300,Taylor was about to hand a document to a colleague during a meeting.
301,Taylor was about to hand a folded note to their colleague during a meeting.
302,Jordan was seated at the dining table with friends as everyone prepared to begin their meal.
303,"Taylor arrived at the family dinner and took a seat alongside the others, observing the eldest family member to see if they would begin eating."
304,"Taylor sat down at the dining table with friends as the eldest person took their seat and prepared to begin the meal,"
305,Sam was at a gathering where everyone was reaching for their glasses to take a sip.
306,"During a social gathering, Sam approached the table with a pitcher of drinks and began pouring for others."
307,"During a group gathering, Sam noticed that the glasses of others had become empty."
308,Jordan was walking through a crowded hallway when they approached a senior staff member.
309,"Jordan arrived at the community center dressed in casual attire, ready to participate in the group activity."
310,Sam was about to hand a book to a colleague during a meeting.
311,Taylor was about to hand a folder to a colleague during a meeting.
313,Sam was about to hand a document to their colleague during a meeting.
314,Taylor was preparing to leave after spending the afternoon at a friend's house.
315,"Taylor arrived at a friend's house and reached the doorway, ready to step inside."
316,Sam was sitting in the living room of a friend's house after being welcomed in for a visit.
317,Jordan was about to begin eating at a family gathering when the host was serving the last dishes.
318,Jordan was seated at the table as the host began serving the dishes.
319,Jordan was about to sit down at the table for a meal with friends.
320,Taylor was about to present a wrapped box to a colleague during a farewell celebration.
321,Sam was standing in the living room holding a wrapped box as a guest approached to present a gift.
322,Sam was standing in front of a friend who was about to present a wrapped gift.
323,Jordan was on their way to meet a friend at a local coffee shop.
324,"Taylor arrived at a friend's casual get-together, just as others were settling in."
325,"Taylor stepped inside the community center as the door closed behind them, and"
326,Taylor received an invitation to visit a friend's house for the weekend.
327,Taylor arrived at a friend's house for a dinner invitation and was about to present a small gift to the host.
328,Sam arrived at a friend's house for a visit and was about to step inside.
329,"Sam sat back in their chair and looked at the empty plate, preparing to signal that they had finished eating"
330,Jordan sat down at the dining table as the other guests began to settle in for the meal.
331,"Jordan sat down at the dining table as the guests began to settle in for the meal, and"
332,Taylor was at a celebration where they had just received a wrapped present from a friend.
333,"Taylor was handed a wrapped box during a celebration, and they prepared to open it."
334,Taylor received a wrapped present during a celebration with friends gathered around.
335,Taylor was about to hand a folder to a colleague during a meeting.
336,Jordan was about to share their thoughts during a conversation with an older relative.
337,Jordan entered the room where their grandparents were seated and approached them to start a conversation.
338,"Sam arrived at a friend's house for a visit, and the host was in the process of offering beverages and snacks."
339,"Taylor arrived at a friend's house, standing at the door with a small package in hand."
340,Taylor was hosting a gathering when the guest hesitated to accept the drink offered.
341,Taylor finished their meal and was about to leave the table.
342,Taylor was finishing the last bites of a meal at a dinner gathering.
343,Jordan finished eating and was about to clear their plate after the main course.
344,Jordan was about to present a wrapped gift to a friend during a celebration.
345,Jordan was about to present a wrapped present to their colleague during a farewell gathering.
346,Taylor was about to present a wrapped present to their colleague during a farewell celebration.
347,"Taylor approached a busy table where several people were seated, and was about to take a seat."
348,"Taylor arrived at the community gathering just as the event was about to start, with others already present."
349,Taylor arrived at the conference room just as the meeting was about to begin.
350,"Jordan approached the closed door of a private office and paused, preparing to open it."
352,Sam approached a busy café and moved to sit at an unoccupied seat.
353,Taylor arrived at a friend's house for a planned afternoon visit.
354,Taylor was organizing their schedule to visit a friend who had mentioned being busy during the week.
355,Jordan was organizing their schedule for upcoming meetings and social calls.
356,Taylor arrived at the dinner table where the host was still preparing the final touches to the meal.
357,Jordan was about to raise their glass to celebrate with friends at a gathering.
358,Taylor arrived at a dinner gathering and took a seat at the table just as the host was finishing setting the dishes.
359,Sam arrived at a family gathering and was about to present a wrapped gift to the host.
360,Taylor was about to open a wrapped box from a close friend during a celebration.
361,Sam was in the process of selecting a present for a close friend's birthday celebration.
362,Jordan was at a gathering where a friend offered them a cup of tea.
363,Taylor noticed a neighbor struggling to carry groceries up the stairs and approached to assist.
364,Taylor received an invitation to attend a weekend gathering from a friend.
365,"Taylor arrived at a celebration where guests were gathering around, and the host was preparing to make a toast."
366,Taylor arrived at the celebration and took a seat among the guests as the host began to make a speech.
367,"Sam was at a celebration where everyone raised their glasses for a toast, and he was about to respond to the offer of a drink."
368,"Taylor arrived at a new neighbor's house for a first visit, carrying a small item in hand."
369,Taylor arrived at a friend's house for a casual afternoon visit.
371,"Taylor arrived at the dinner table where several guests had already taken their seats, and the host was just about to begin serving."
372,Taylor arrived at the dining room and took a seat while the host was still welcoming guests.
373,Taylor sat at the table after everyone had been served and was about to begin eating.
374,Jordan arrived at a friend's house and was about to ring the doorbell.
375,Sam received a wrapped gift from a friend during a celebration and was about to unwrap it in front of the giver.
376,Taylor received a wrapped box from a friend during their visit.
377,Jordan was walking through a busy public space when they noticed an elderly person struggling to carry their bags.
378,Sam noticed an elderly person struggling to carry their groceries while walking through the park.
379,Sam was sitting in a quiet café when a friend nearby suddenly sneezed.
380,Taylor arrived at a friend's house for a casual afternoon visit and noticed the host preparing refreshments in the kitchen.
381,"Taylor arrived at the party alone, having received the official invitation specifying the guest list."
382,Taylor arrived at a friend's house and was about to step inside.
383,Sam arrived at a friend's house just as everyone was settling in to eat.
384,"After finishing the dinner at a family gathering, Sam prepared to express their feelings about the meal."
385,Taylor was about to set their plate down after finishing a meal at a family gathering.
386,"Sam arrived at a friend's house for a dinner gathering, carrying a small wrapped package."
387,Jordan was preparing to present a bouquet to a friend on their birthday.
388,Sam was preparing to present a bouquet to a friend on their birthday.
389,Jordan was walking through a crowded subway station when they noticed an elderly person and a woman with a young child standing nearby.
390,Jordan notices an elderly person standing alone in a crowded waiting area.
391,"Jordan was standing in a crowded subway car when a elderly person entered and looked for a place to sit, and"
394,Taylor arrived at a friend's house and was greeted at the door by the host.
395,"Jordan raised their glass as the host began the toast, ready to join in."
396,Jordan was seated at the table during a formal dinner where the host raised their glass to make a toast.
397,Jordan finished their meal and was about to leave the table.
398,"Jordan declined a gift when it was first offered during a visit to a friend's home, and the giver was preparing to present it again."
399,Jordan was selecting a bouquet of flowers to give to a friend for their birthday celebration.
400,Taylor prepared to present a bouquet of flowers to a friend during a celebration.
401,Taylor was about to hand a book to a friend during a study session.
402,Taylor stood near the table as a colleague approached to hand over a document.
403,Sam was standing near a colleague as they prepared to exchange a document during a meeting.
404,Jordan arrived at a friend's house and prepared to step inside.
405,Jordan arrived at the community gathering briefly before leaving due to a prior commitment.
406,Jordan was visiting a colleague's home when they were offered a traditional snack.
407,"Jamie was at a communal meal with friends, preparing to serve themselves or pass dishes around."
408,"Sam was seated at the table with friends, waiting for everyone to be served before starting to eat."
409,"Sam arrived at a family gathering where everyone was already seated around the table, and the host was in the process of serving food."
410,Taylor was about to hand a wrapped present to a friend during a celebration.
411,Jordan was about to hand a book to a colleague during a meeting.
412,Jordan was about to present a wrapped present to a friend during a celebration.
413,Taylor was in a meeting room preparing to hand over a document to a colleague.
414,Sam was seated in a room with a group of elders during a family gathering.
415,Jordan was in the process of handing a book to a colleague during a meeting.
416,"Taylor arrived at the community festival shortly after the doors opened, observing the early attendees settling in."
417,Jordan received an invitation to a community celebration and was considering whether to bring along their parents and siblings.
418,Sam received an invitation to dinner from a neighbor across the street.
419,Sam arrived at the restaurant and was seated at a table where the waiter was about to serve the meal.
421,Taylor was sitting at the table when a server approached with a new dish and asked if they would like more.
422,Taylor was about to hand a wrapped present to a friend during a celebration.
423,Taylor was about to hand a wrapped present to a friend during their visit.
424,Taylor was about to receive a wrapped present from a friend during a celebration.
425,"Sam stepped through the doorway into the quiet sanctuary, taking in the solemn atmosphere as others began to remove their hats."
426,"Sam stepped through the doorway into the quiet sanctuary, pausing momentarily before proceeding further."
427,"Taylor stepped inside the quiet sanctuary, adjusting to the solemn atmosphere as they approached the entrance."
428,Sam was attending a formal gathering where the host approached with a tray of beverages.
429,"Jordan finished their visit at a friend's house and was considering how to show appreciation for the hospitality, thinking about inviting the host over to their own place."
430,Jordan attended a dinner at a friend's house and was about to leave after the meal.
431,Taylor arrived at a family gathering where everyone was already seated around the dining table.
432,Taylor arrived at the dinner table where the host was still preparing the final touches to the setting.
433,Taylor arrived at a family gathering where everyone was already seated around the dining table.
434,Taylor was preparing to visit a friend's house for a casual afternoon get-together.
435,"Taylor was handed a wrapped box during a celebration, and they held it in their hands."
436,Taylor arrived at their friend's house and was about to ring the doorbell.
437,Taylor was about to gently pat a friend's head after noticing their hairstyle.
438,"Taylor stood near the counter, ready to hand over a package to the delivery person."
439,Taylor was about to hand a book to a friend during a casual exchange.
440,Taylor arrived at a friend's house and stood by the doorway as they prepared to enter.
443,Jordan finished eating and was about to set down their utensils after the main course.
444,Jordan finished a plate of food at a family gathering.
445,Taylor finished a plate of food at a family gathering.
446,Sam was handed a wrapped box during a celebration hosted by friends.
447,Sam was standing quietly as the gift was handed over during the celebration.
448,Taylor received a wrapped present from a friend during a social visit.
449,Taylor arrived at the host's house for a scheduled dinner party.
450,"Sam arrived at the friend's house for the scheduled dinner, but the host had not yet begun serving."
451,Sam was invited to a dinner at a friend's house and arrived approximately twenty minutes after the scheduled start time.
452,Jordan arrived at the party and looked around to see who was already there.
453,"Jordan entered a room where several people were gathered, and was about to approach them."
454,"Sam entered the room where a group of friends was gathered, and was about to approach the door to leave."
455,"Sam sat quietly at the dining table, observing the variety of dishes laid out before them."
456,Sam sat at the dining table with a plate of food in front of them as the host began serving the next course.
457,"Taylor was seated at a dinner table with friends, and the wine was being poured and served."
458,Sam was preparing to present a bottle to a colleague during a farewell gathering.
459,"Sam arrived at a friend's house for dinner, carrying a carefully wrapped gift."
460,Jordan arrived at the community art project and prepared to add their piece to the collaborative mural.
461,Sam was on a call with a friend when the conversation was nearing its end.
462,Jordan was about to hang up after speaking with a customer service representative.
463,Taylor was about to hang up after a long chat with a friend.
464,Sam arrived at the social gathering and looked around at the group of friends chatting and laughing.
465,"Taylor was gathered with friends at a café, discussing plans for a weekend trip."
466,"Sam was at a social gathering with friends, and the group was discussing how to handle ordering drinks."
467,"Sam finished their meal and noticed the table was cleared, and the host was gathering dishes."
468,Sam finished their meal and was about to leave the table.
469,"Taylor finished their meal and was standing near the kitchen, observing the remaining dishes."
470,Sam sat quietly at the dining table as the meal was served and everyone began to eat.
471,"Sam sat quietly at the dining table, waiting for everyone to begin eating."
472,Taylor sat down at the large dining table set for a communal meal with friends.
473,Taylor arrived at a friend's house for a casual visit.
474,Jordan arrived at a friend's house for a casual visit and was about to greet the host.
475,Sam arrived at a friend's house and was about to be greeted by the host.
476,Jordan entered the office building and noticed colleagues greeting each other as they passed by.
477,Taylor arrived at the conference room just as the team leader was about to begin the meeting.
478,Taylor was walking through a busy office corridor when they approached a colleague they recognized.
479,Taylor was at a gathering where the host approached with a tray of drinks.
480,Taylor was visiting a friend's house when the host approached with a tray of snacks and beverages.
