row_id,trigger,target,specification
85,giving or receiving items,how to handle items,use both hands
86,giving or receiving anything,how to handle items,use both hands
87,visiting someone's home,bringing a gift,bring a small edible gift
88,,,
89,,,
90,during a meal,offering food,offer the best portion to the person beside you
91,during a meal,offering food,offer the best portion to others
92,communal dining,offering food,offer the best portion to others
93,receiving a gift,how to pass the gift,pass with both hands
94,passing gifts,how to pass the gift,use both hands
95,giving a gift,how to pass the gift,use both hands to pass it
96,inviting others out for a meal,who pays for the meal,the inviter always pays
97,social situations,gestures of respect,prioritize etiquette and consideration
98,initiating an invitation,who pays the bill,pay the bill
99,spontaneous visit to friends,behavior during visit,visit without prior notice
100,receiving an invitation,response to the invitation,accept the invitation to nurture friendships
101,being invited to someone's home,declining the invitation,provide a significant reason for declining
102,finishing a meal,how much food to leave,leave a small portion of food
103,finishing a meal,how much food to leave,leave a small portion to show fullness
104,finishing a meal,how much food to leave,leave a small portion to signal fullness
105,giving a gift for special occasions,how to give money,place money in an envelope
106,choosing a gift,type of gift,reflect thoughtfulness about preferences and occasion
107,receiving a gift,when to open the gift,wait and open privately
108,"passing, giving, or receiving objects",how to handle objects,use both hands together
109,passing objects,how to pass objects,use both hands to pass objects
110,giving or receiving objects,how to handle objects,use both hands
111,passing or receiving items,how to do it,use both hands to show respect
112,meeting up with someone,offering food,offer food as a token gesture
113,attending social or professional events,being on time,adhere to time commitments
114,being served a meal,complimenting the host,compliment the host on their meal
115,accepting an invitation to dine,who pays for the meal,the inviter is expected to pay
116,dining communally,when to start eating,wait for the host to initiate the meal
117,giving a gift,expressing humility,mention the gift's modest value
118,presenting a gift,how to describe the gift,modestly downplay its significance
119,giving a gift,how to present the gift,downplay its significance
120,when practicing health precautions,behavior towards wind,be cautious about wind passing through rooms
121,creating a draft,how to prevent it,avoid opening multiple windows in the same room
122,around elders,behavior and language,behave formally and avoid rudeness
123,being offered refreshments,how to respond,accept and partially consume the refreshment
124,being offered refreshments,when to start eating or drinking,accept the offer and wait for the host to start
125,being offered refreshments at someone's home,acceptance of refreshments,accept even if not finishing them
126,before dining out,how to split the bill,discuss and agree on it
127,before dining out with friends,how to split the bill,discuss and agree upon it
128,dining with others,mealtime behavior,engage in prolonged conversations and share food from communal dishes
129,giving flowers as a gift,number of flowers,choose an odd number unless solemn
130,giving a gift privately,type of gift,choose gifts that do not create obligation
131,senior person enters the room,behavior when entering,stand out of respect
132,someone enters the room,how to greet,stand up to acknowledge
133,older person enters the room,behavior when they arrive,stand up as a sign of respect
134,after a meal or visiting a home,complimenting the host,offer a sincere compliment
135,,,
136,someone enters the room,how to respond,stand up for the first time
137,at the end of a meal,when to leave the table,wait until everyone has finished
138,before starting to eat,when to begin eating,wait for the host's invitation
139,sitting down to a meal,when to start eating,wait for the host to begin
140,giving gifts,choice of gift,avoid negative connotations in colors and symbols
141,giving a gift,presentation and symbolism,consider its meaning and avoid negatives
142,presenting a gift,wrapping and appearance,use visually appealing wrapping avoiding negative symbols
143,potentially awkward situations,use of polite expressions,acknowledge social norms politely
144,during conversations about personal matters,asking questions,avoid direct questions and give compliments
145,discussing personal topics,what to avoid,not engage without invitation
146,bringing additional guests to the host's home,permission from the host,ask for the host's permission
147,entering someone's home,removing shoes,ask if you should remove shoes
148,entering someone's home,removing shoes,always inquire if you should remove shoes
149,paying the bill,tipping service personnel,tip between 15-20% of the total bill
150,paying the restaurant bill,tip amount,leave 15-20% of the total bill
151,paying the restaurant bill,how much to tip,tip approximately 15-20% of the bill
152,receiving a gift,how to open the gift,open it in front of the giver
153,presenting a gift,what to include,include a personal card and choose meaningful items
154,receiving a gift,how to open the gift,open it in front of the giver
155,being offered something,initial reaction,lightly protest before accepting
156,group or business setting,offering to pay for others,offer to pay as a gesture of generosity
157,group meal,paying for others,offer to pay and accept graciously
158,being offered refreshments,how to respond,accept and show appreciation
159,being offered drinks,response to the offer,accept politely and show appreciation
160,being offered a drink,acceptance of the drink,accept as a gesture of goodwill
161,finishing a meal,how much food to leave,leave a little food on the plate
162,finishing a meal,how much food to leave,leave a little food on the plate
163,finishing a meal,how much food to leave,leave a little food on the plate
164,offering and receiving gifts,which hand to use,offer and receive with right hand or both hands
165,offering and receiving gifts,how to handle gifts,"offer and receive with one or both hands, do not open immediately"
166,giving a gift,how to present the gift,use either right hand or both hands
167,talking about personal topics,asking questions,avoid asking direct questions
168,needing service,how to attract attention,wait patiently and signal politely
169,waiting for service,how to get attention,wait patiently without loud gestures
170,visiting someone,confirmation of visit,always confirm your visit in advance
171,visiting someone,arrival time,plan ahead and arrive on time
172,,,
173,choosing a gift,what the gift should reflect,reflect the recipient's interests
174,giving a gift,type of gift,choose based on recipient's interests
175,choosing a gift,how to select a gift,reflect the recipient's personal interests
176,meeting someone,punctuality,be on time to show respect
177,reserving a seat in public,placing a personal item,place a personal item to reserve
178,,,
179,being late to a gathering,informing the host,notify the host in advance
180,receiving an invitation,response to the invitation,acknowledge regardless of attendance
181,visiting someone's home,bringing a token of appreciation,always bring a small gift
182,finishing a meal,how much food to leave,leave a small amount of food
183,starting a meal,when to begin eating,wait for the host to start
184,finishing a meal,how much food to leave,leave a small amount of food
185,giving or receiving a gift,how to handle the gift,use both hands
186,giving or receiving a gift,how to handle the gift,use both hands and do not open immediately
187,giving or receiving a gift,how to present or accept the gift,use both hands and do not open immediately
188,,,
189,social interactions,when to conclude conversations,allow them to end naturally
190,social situations,arrival time,arrive late if necessary
191,offered refreshments,how to accept,accept without the need to finish
192,being offered refreshments,acceptance of refreshments,accept without the need to finish
193,being offered refreshments,acceptance of refreshments,accept but do not feel obliged to finish
194,communal meals,who begins eating,allow the eldest male guest to start
195,starting a meal,who begins eating first,host begins eating last
196,communal meal,who starts eating,allow the eldest or guest to begin
197,offering gifts,which hand to use,use right hand or both hands
198,giving a gift,how to present the gift,use right hand or both hands
199,giving or receiving a gift,how to handle the gift,use the right hand or both hands
200,seeing someone in need,offering assistance or seat,offer help or give up seat
201,seeing someone in need of a seat,who to offer seat to,offer your seat to those in need
202,someone enters the room,how to show respect,stand up as a sign of respect
203,visiting someone's home,bringing a gift,always bring a small gift
204,entering someone's home,shoe removal,offer to remove shoes
205,,,
206,during meal or drink service,expressing participation or abstention,communicate clearly about preferences
207,before drinking,when to start drinking,wait for a toast to be proposed
208,during meals,how to show appreciation and respect,participate in toasts and wait for others to start eating
209,giving gifts,type of gift,choose thoughtful but not expensive
210,choosing gifts,type of gifts,select gifts showing moderate appreciation
211,giving flowers as a gift,number of flowers,ensure they are an odd number
212,being offered to pay,initial response,decline the first offer
213,being offered to pay,initial response,refuse the offer at least once
214,,,
215,during a visit,how to interact,praise the setting and engage warmly with all members
216,being invited to someone's home,bringing a gift,bring a small gift to express gratitude
217,being invited to someone's home,bringing a gift,always bring a small gift
218,starting to eat or drink,when to begin,wait for the host or elder
219,receiving an offer from the host,how to respond,accept or decline graciously
220,sitting down to a meal,when to start eating,wait for elders to begin
221,offering or receiving a gift,how to handle the gift,use both hands or right hand alone
222,offering a gift,how to give the gift,use two hands or the right hand alone
223,offering a gift,how to present the gift,use both hands or the right hand
224,noticing someone older or in need,offering your seat,offer your seat politely
225,passing an object,how to hand the object,hand it directly and respectfully
226,handing objects to another person,how to give objects,directly hand over the objects
227,leaving the host's place,informing about safe arrival,notify the host upon reaching home
228,after leaving the host's place,informing about safe arrival,notify the host of your safe arrival
229,reaching home,informing the host,call or message to confirm safe arrival
230,during a meal,expressing appreciation,express appreciation regardless of taste
231,after a meal in social setting,showing appreciation,express gratitude regardless of dietary restrictions
232,during a meal,showing enthusiasm and appreciation,express enjoyment and socialize unhurriedly
233,receiving a gift,when to open the gift,open immediately and praise enthusiastically
234,receiving a gift,how to respond,praise enthusiastically immediately
235,receiving a gift,how to respond,open the gift and praise enthusiastically
236,needing to pass through a conversation,how to behave,verbally excuse oneself
237,being significantly late,inform others,call and inform about delay
238,boarding public transport,offering a seat,offer seat to pregnant or elderly
239,attending gatherings,greeting and bidding farewell,greet and bid farewell to each person
240,small gathering,greeting and bidding farewell,greet and bid farewell to each person individually
241,gathering,greeting and bidding farewell,personally greet and bid farewell to each guest
242,attending communal meals,bringing food,bring a plate of food to share
243,attending a barbecue,what to bring,bring a dish to share
244,communal meals,when to start eating or toasting,wait for the host to initiate
245,visiting a host's home,type of gift,"bring modest, consumable gifts"
246,giving a gift,how to present the gift,make it modest and share immediately
247,visiting someone's home,type of gift to bring,"bring a shared, modest gift"
248,offering or receiving items,how to do it,use both hands
249,offering seat to elders in public spaces,how to show respect,offer seat using polite gestures
250,giving or receiving items,how to use hands,always use both hands
251,,,
252,,,
253,visiting someone's home,bringing a gift,bring a small gift as gratitude
254,dining with elders,who starts eating first,let the eldest begin
255,starting a meal,who begins eating,wait for the eldest person to start
256,communal meals,order of starting to eat,follow the age-based order
257,,,
258,offering a gift,how to insist,insist politely if declined
259,gift refusal,how to insist,insist gently
260,someone older enters the room,how to show respect,stand up when they enter
261,gathering,offering a seat,offer your seat to an elder
262,someone older enters a room,offering a seat,always offer your seat
263,being offered something,initial response,politely decline the offer initially
264,offering something,how many times to insist,insist multiple times politely
265,being offered something,initial response,initially decline out of modesty
266,being offered refreshments by a host,how to respond,accept the refreshments
267,offered refreshments,acceptance of drink,accept as a sign of friendship
268,being offered a drink by the host,acceptance of refreshments,always accept to show respect
269,,,
270,end of a meal,how much food to leave,leave some food on the plate
271,,,
272,offering a gift,persistence in offering,continue until the gift is accepted
273,initial refusal of gift,how to persist,offer the gift multiple times respectfully
274,initial refusal of gift,offering the gift,persist in offering multiple times
275,public outings,dressing style,dress neatly
276,attending casual meetings,dress code,dress neatly
277,public settings,behavior during social activities,engage in shared activities and dress neatly
278,attending a religious or family event,bringing a gift and greeting,bring a symbolic gift and greet everyone warmly
279,entering a religious place,dress code and behavior,dress modestly and act respectfully
280,entering a sacred space,how to dress and behave,cover shoulders and remove hats
281,dining,how to signal finished eating,place cutlery together on the plate
282,during meals,behavior towards the host,follow the host's lead and offer reciprocation
283,showing appreciation to the host,how to express gratitude,offer to take the host out for a meal
284,receiving a gift,when to open the gift,open it in the giver's presence
285,receiving a gift,when to open the gift,open it immediately upon receipt
286,receiving a gift,how to accept and open,accept graciously and open in presence of giver
287,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time
288,appointments,arrival time,arrive on time
289,attending an appointment or social gathering,arrival time,always arrive on time
290,after receiving hospitality,how to show gratitude,express gratitude politely
291,next encounter,thanking the hosts,use a specific phrase to thank
292,being invited to a meal,arrival and departure,arrive on time and stay for conversation
293,being offered a variety of items,how many items to take,take only one of each type
294,after a meal,thanking the host,thank the host directly
295,sampling food at a gathering,how much to take,take only one piece of each variety
296,bringing a gift,who to bring gifts for,bring gifts for host and children
297,,,
298,visiting someone's home,bringing gifts for children,remember to bring a small gift
299,giving or receiving objects,how to handle objects,use both hands to show respect
300,offering or receiving items,how to use hands,use two hands or right hand only
301,offering or receiving something,how to use hands,use both hands or right hand
302,starting a meal,who begins eating first,wait for the eldest person to start
303,sitting at the table,when to start eating,wait for the eldest person to begin
304,starting a meal at the table,who begins eating first,wait for the eldest person to start
305,communal drinking,filling glasses,fill others' glasses before your own
306,filling glasses at social gathering,order of filling glasses,prioritize filling others' glasses first
307,group gatherings,refilling glasses,refill others' glasses before your own
308,moving past someone of higher status,physical position,maintain a lower position than them
309,communal settings,showing respect,use respectful gestures and dress modestly
310,passing or receiving an item,how to use hands,use both hands or at least the right hand
311,giving or receiving items,how to use hands,use both hands or support with left
312,,,
313,passing items,how to pass items,"use both hands or right hand, support right elbow with left"
314,end of a visit,showing appreciation,express gratitude to the host
315,entering someone's home,shoe removal,remove shoes before entering
316,after receiving hospitality,how to show gratitude,always express deep gratitude
317,starting to eat,offering food,offer food to those around you
318,starting to eat,offering food to others,offer food before eating oneself
319,before eating,offering food,offer food to those around
320,giving or receiving a gift,how to handle the gift,offer and receive with both hands
321,offering and receiving gifts,how to handle gifts,use both hands and do not open immediately
322,offering and receiving gifts,how to handle gifts,offer and receive with both hands
323,casual meetings,arrival time,arrive later than the agreed-upon time
324,arriving at casual gatherings,punctuality,arrive a bit later than scheduled
325,entering a home or place of worship,headgear,remove headgear
326,being invited over,preparing for the visit,organize visit ahead of time and bring a small token
327,being invited to a meal at someone's home,bringing a gift,bring a small gift like chocolates
328,being invited to someone's home,bringing a gift,"bring a gift such as wine, chocolate, or flowers"
329,finishing a meal,how to place utensils,place fork and knife parallel on the plate
330,during a meal,hand position and signaling,keep hands above the table and place fork and knife parallel on the plate to signal end
331,during meals,hand position and signaling,keep hands above the table and place fork and knife parallel on the plate to signal end
332,opening gifts,when to open gifts,do it in the presence of the giver
333,receiving a gift,when to open the gift,open it in the giver's presence
334,receiving a gift,when to open the gift,open the gift in front of the giver
335,giving or receiving items,how to handle items,use both hands
336,interacting with older individuals,how to speak and listen,speak softly and listen attentively
337,interacting with elders,how to speak,speak softly and avoid contesting
338,offering refreshments to guests,how many times to insist,insist multiple times before accepting refusal
339,visiting someone's home,bringing a gift,bring a gift as a gesture of goodwill
340,offering refreshments,guest's refusal,insist a few times before accepting
341,finishing a meal,how much food to leave,leave a small amount of food
342,finishing a meal,how much food to leave,leave a small amount of food
343,finishing a meal,how much food to leave,leave a small amount of food
344,giving a gift,how to pass the gift,use both hands to pass it
345,giving a gift,how to present the gift,use both hands to show respect
346,giving a gift,how to present the gift,use both hands and choose positive wrapping
347,approaching a table with others,asking about seat availability,ask before sitting down
348,arriving at social events,punctuality and personal space,demonstrate respect for both
349,professional and social situations,punctuality,maintain punctuality
350,entering a room,knocking on the door,always knock before entering
351,,,
352,sitting at a shared table,whether to sit down,ask if the seat is free
353,visiting someone's home,how to conduct the visit,organize visits in advance and respect privacy
354,planning visits,visit duration,limit the duration to respect others' time
355,planning visits,visit timing and duration,plan in advance and limit duration
356,sitting down to a meal,when to start eating,wait for the host's signal
357,making a toast,eye contact,look someone in the eye
358,sitting down to a meal,when to start eating,begin eating only after the host signals
359,bringing and unwrapping a gift,appropriateness of the gift,ensure gifts are appropriate and considerate
360,receiving a gift,how to handle the gift,open the gift immediately
361,choosing and presenting a gift,how to select and give gifts,choose appropriately and present respectfully
362,receiving an offer,response to the offer,insist multiple times to show sincerity
363,offering help or gestures,showing sincerity and ensuring comfort,persist in offering help
364,receiving a social invitation,response to the invitation,follow up quickly and show genuine interest
365,social gathering,participation in toasts and speeches,be prepared to offer a sincere speech
366,during gatherings,participation in toasts and speeches,participate earnestly and sincerely
367,after a toast,not participating in the drink,mention health reasons
368,visiting someone's home for the first time,what to bring,bring a small gift
369,visiting someone's home,bringing a gift,always bring a small gift
370,,,
371,sitting down to a meal,when to start eating,wait until the host begins
372,sitting down to a meal,when to start eating,wait until everyone is seated and the host begins
373,finishing a meal,behavior towards food,finish your food to show appreciation
374,visiting someone's home,bringing a gift,bring a gift as a gesture of thanks
375,receiving a wrapped gift,when to open the gift,open it immediately in front of the giver
376,receiving a gift in presence of giver,when to open the gift,open the gift immediately
377,encountering elderly or others in need,behavior to show respect,offer small acts of kindness
378,encountering elderly individuals,how to behave,offer assistance and maintain formality
379,after someone sneezes,what to say,verbally wish good health or luck
380,during social visits,accepting refreshments,accept what is offered graciously
381,arriving at a gathering,bringing additional people or items,do not bring extra guests or items unless asked
382,entering someone's home,shoe removal,remove shoes before entering
383,at a friend's house during a meal,offering help and expressing gratitude,offer help and express gratitude politely
384,after a meal,showing gratitude,try all dishes and compliment the food
385,offering food,who to offer to share with,offer to share with anyone not eating
386,visiting someone's home or dinner party,bringing a gift,bring a gift such as chocolates
387,giving flowers as a gift,number of flowers,choose an odd number of flowers
388,giving flowers as a gift,number of flowers in bouquet,ensure the bouquet has an odd number of flowers
389,seeing an elderly person or woman with a child or pregnant woman,offering a seat,offer your seat politely
390,seeing an elderly person,offering a seat,offer your seat politely
391,being in public spaces,offering your seat,offer your seat to someone in need
392,,,
393,,,
394,being invited to someone's home,how to respond,offer a reciprocal gesture such as bringing a gift or helping with cleanup
395,during a toast,participation,attentively participate and clink glasses with everyone
396,attending a meal with toasts,behavior during the toast,give full attention and join in
397,finishing a meal,how much to eat,leave a small portion to show fullness
398,refused a gift,offering the gift again,insist on offering a second time
399,gifting flowers,number of flowers,choose an uneven number for special occasions
400,giving flowers as a gift,number of flowers,choose an uneven number except for somber occasions
401,giving or receiving objects,which hand to use,use right hand or both hands
402,"passing, offering, and receiving items",which hand to use,use the right hand or both hands
403,"passing, offering, receiving objects",which hand to use,use right hand or both hands
404,entering a home,removing shoes,remove shoes before entering
405,attending an event,duration of presence,make a short appearance
406,being offered tea or food,acceptance of the offer,accept as a gesture of respect
407,eating or passing food,which hand to use,use your right hand
408,beginning to eat in a group,offering food to others,offer food to others first
409,communal meals,serving oneself,wait for the host to serve
410,receiving or offering a gift,which hand to use,use only the right hand
411,offering or accepting items,which hand to use,use the right hand
412,offering a gift,which hand to use,offer with the right hand
413,passing items,which hand to use,use right hand or both hands
414,being with elders,leg position,do not cross legs
415,passing items,which hand to use,use right hand or both hands
416,large social gatherings,arrival timing,avoid being first or last
417,receiving a social invitation,who can attend,bring the entire extended family
418,receiving a dinner invitation,how to respond,reciprocate the invitation
419,dining etiquette,how to use hands and accept helpings,"use right hand for eating and serving, accept additional helpings graciously"
420,,,
421,being offered more food,how to respond,accept the helpings politely
422,giving a gift,how to present the gift,use both hands and avoid opening it in front of the giver
423,giving a gift,how to present the gift,give with both hands and do not open in front of the giver
424,giving a gift,how to present and open gifts,use both hands and avoid opening in front of giver
425,entering a place of worship,wearing headwear,remove headwear to show respect
426,entering a place of worship,headwear,remove headwear as a sign of respect
427,entering a place of worship,wearing headwear,remove headwear as a sign of respect
428,being offered refreshments by the host,how to respond,wait for the host to offer and accept graciously
429,after being hosted,how to show gratitude,invite the host to your home
430,being a guest,showing appreciation,reciprocate the invitation
431,sitting down to a meal,when to start eating,wait for the host to signal
432,sitting down to a meal,when to start eating,wait for the host's signal
433,sitting down to a meal,when to start eating,wait for the host to start
434,being invited over,bringing a gift,"bring a small, thoughtful gift"
435,receiving a gift,when to open the gift,open the gift immediately
436,visiting someone's home,bringing a gift,"bring a small, thoughtful gift"
437,interacting with someone's head,touching the head,seek explicit permission beforehand
438,passing or receiving an item,which hand to use,use right hand or both hands
439,giving or receiving items,which hand to use,use right hand or both hands
440,entering someone's home,removing shoes,remove shoes before entering
441,,,
442,,,
443,finishing a meal,how to show satisfaction,leave a small amount of food on the plate
444,finishing a meal,how much food to leave,leave a small amount of food
445,finishing a meal,how much food to leave,leave a small amount of food on the plate
446,receiving a gift,when to open the gift,wait until invited to open
447,receiving a gift in presence of giver,when to open the gift,wait patiently unless invited to open
448,receiving a gift,when to open the gift,do not open unless invited
449,arriving at a meal at someone's house,timing of arrival,arrive slightly late
450,meal at a friend's house,arrival time,arrive 15 to 20 minutes late
451,being invited to a meal,arrival time,arrive 15 to 20 minutes late
452,arriving at social gatherings,greeting others,greet everyone personally upon arrival and departure
453,arriving or leaving a gathering,greeting behavior,personally greet everyone
454,arriving or leaving a gathering,greeting behavior,greet every person
455,during a meal,how to eat each course,take time to enjoy and discuss
456,during a meal,how to eat each course,take your time enjoying each course
457,during meals,discussing wine,comment on flavors and quality
458,giving a gift,type of gift,ensure it is of high quality
459,attending a dinner at someone's house,what to bring as a gift,bring a high-quality bottle of wine
460,contributing to a communal setting,quality of contribution,ensure it is of the highest quality
461,before hanging up the phone,saying 'bye',say 'bye' multiple times
462,ending a phone conversation,how to say goodbye,say multiple farewells politely
463,ending a phone conversation,how to say goodbye,say 'bye' multiple times
464,being at a social gathering,offering to buy drinks,offer to buy a round for everyone
465,group setting,who pays for drinks,take turns offering to cover expenses
466,being in a group setting,who buys drinks,take turns in purchasing rounds
467,after a meal at someone's house,helping with cleanup,offer to help
468,after a meal,offering to help,offer to help clean up
469,after a meal at someone's home,offering to help,offer to help clean up
470,during a meal,elbows and noise,keep elbows off the table and avoid loud noises
471,during a meal,noise level and eating habits,avoid loud noises and finish all food
472,communal meals,how much food to eat,finish all the food on your plate
473,visiting someone's home,bringing a gift,bring a small token of appreciation
474,visiting someone's home,bringing a gift,bring a small token of appreciation
475,visiting someone's home,bringing a gift,give a thoughtful token of appreciation
476,professional setting,punctuality and greetings,be punctual and greet passing colleagues
477,professional meeting,punctuality,be on time to show respect
478,passing people in public or professional settings,greeting behavior,greet as a sign of respect
479,offered refreshments by the host,acceptance of refreshments,accept as a sign of respect
480,being offered food or drink,acceptance of offers,accept the offer politely
481,being offered food or drinks by a host,acceptance of the offer,accept to show respect and appreciation
482,during a meal,hand position,keep hands visible above the table
483,before starting a meal,when to begin eating,wait for someone to initiate thanks
484,before starting a meal,expressing gratitude,acknowledge and participate in gestures
485,presenting flowers as a gift,number of flowers,always choose an odd number
486,gift-giving,type of gifts and flowers,select simple and meaningful gifts; give an odd number of flowers
487,giving a gift,type of gift and flowers,"bring a simple, unique gift and give an odd number of flowers"
488,giving or receiving items,which hand to use,use right hand or both hands
489,giving or receiving items,which hand to use,use right hand or both hands
490,passing or receiving items,which hand to use,use right hand or both hands
491,offering food and drink to guests,guest's response,graciously accept the offer
492,visiting someone's home,accepting food,accept the offered food and try everything served
493,unexpected guests arrive,sharing your meal,share your meal politely
494,during meals,how to eat,offer the choice between cutlery and hands
495,during meals,how to eat,offer choice of cutlery or hand
496,serving guests,how to eat,offer choice of cutlery or hands
497,choosing a gift,type of gift,select a neutral and respectful gift
498,selecting a gift,consideration of recipient's beliefs,always consider their beliefs and practices
499,choosing a gift,consideration of recipient's beliefs,consider recipient's beliefs before choosing
500,sharing a meal,who to invite,invite others to share the meal
501,sitting down to a meal,when to start eating,wait for the blessing before starting
502,before starting to eat,when to begin eating,wait for the meal to be blessed
503,entering a new community space,how to behave,announce presence and seek permission from leaders
504,visiting someone's place,announcing arrival and dress,announce arrival and follow dress customs
505,entering a shared or private space,announcing presence,announce your presence
506,visiting someone's home,type of gift,bring a useful and thoughtful gift
507,visiting someone's home,what to bring,bring something useful or desired
508,visiting someone's home,type of gift to bring,bring a useful gift
509,making or answering phone calls,self-introduction,introduce oneself by name
510,,,
511,making or answering phone calls,introduction,introduce oneself by name
512,elder or higher rank enters the room,how to show respect,stand up as a sign of respect
513,,,
514,elder or higher-ranked person enters the room,how to respond,stand up to show respect
515,dining with others,when to start eating,wait for everyone to be served and host's signal
516,sitting down to a meal,when to start eating,wait until everyone is served and host begins
517,starting a meal,when to begin eating,wait until the host indicates
518,receiving a gift,when to open the gift,open it immediately upon receiving
519,visiting someone's home,type of gift,"bring a moderate, occasion-appropriate gift"
520,visiting someone's home,type of gift to bring,"bring a small, non-lavish gift"
521,communal setting,sharing personal possessions,share without demanding extensive privacy
522,within close-knit communities or families,sharing possessions and space,consider sharing as socially acceptable
523,,,
524,visiting or hosting,offering or accepting coffee,offer or accept a small cup of coffee
525,visiting someone's home,arrival time,arrive fashionably late
526,arriving at gatherings,timing of arrival,arrive slightly late to show understanding
527,during a meal,how to handle food,finish all food and use utensils or napkins
528,during a meal,how much food to finish,aim to finish all the food on the plate
529,finishing a meal,how to handle food,consume carefully to show appreciation
530,giving gifts,gift's symbolism,ensure it conveys positive intention
531,giving a gift,type of gift,bring a symbolic and appropriate gift
532,giving a gift,type of gift,choose considerate and culturally sensitive items
533,giving or receiving items,how to use hands,use both hands or the right hand
534,giving or receiving items,how to use hands,use both hands to show respect
535,giving or receiving items,how to handle items,use both hands
536,,,
